user_id,item_id,rating
0,0,2.0
0,1,3.0
0,2,4.0
0,4,2.0
0,5,3.0
0,9,4.0
0,10,4.0
0,13,1.0
0,16,2.0
0,17,5.0
0,18,2.0
1,3,4.0
1,5,5.0
1,8,2.0
1,10,4.0
1,12,1.0
1,17,5.0
2,0,2.0
2,2,1.0
2,5,5.0
2,6,5.0
2,11,5.0
2,12,3.0
2,13,3.0
2,15,3.0
2,16,3.0
2,17,4.0
3,1,3.0
3,2,5.0
3,6,4.0
3,7,3.0
3,9,5.0
3,10,3.0
3,12,4.0
3,15,2.0
3,19,2.0
4,3,5.0
4,6,2.0
4,7,2.0
4,8,2.0
4,10,3.0
4,11,4.0
4,12,2.0
4,13,5.0
4,14,4.0
4,18,4.0
4,19,2.0
5,1,4.0
5,2,3.0
5,5,5.0
5,9,3.0
5,10,2.0
5,14,1.0
5,16,4.0
5,17,3.0
5,19,5.0
6,0,3.0
6,4,4.0
6,5,5.0
6,6,2.0
6,7,2.0
6,9,3.0
6,11,4.0
6,14,2.0
6,15,4.0
6,19,1.0
7,1,5.0
7,2,1.0
7,3,4.0
7,7,3.0
7,8,1.0
7,10,1.0
7,13,4.0
7,16,2.0
7,19,4.0
8,1,3.0
8,2,1.0
8,3,1.0
8,5,3.0
8,7,4.0
8,9,1.0
8,10,1.0
8,12,4.0
8,13,4.0
8,14,2.0
8,17,5.0
8,18,3.0
9,0,1.0
9,1,1.0
9,3,1.0
9,4,1.0
9,11,2.0
9,14,1.0
9,18,4.0
10,1,2.0
10,4,2.0
10,5,2.0
10,8,2.0
10,9,3.0
10,10,2.0
10,13,1.0
10,14,4.0
10,15,5.0
10,16,3.0
10,18,3.0
10,19,3.0
11,0,3.0
11,3,5.0
11,4,4.0
11,7,4.0
11,8,5.0
11,9,3.0
11,11,1.0
11,12,2.0
11,13,1.0
11,14,1.0
11,18,4.0
12,0,2.0
12,2,5.0
12,4,5.0
12,5,4.0
12,11,2.0
12,12,3.0
12,14,4.0
12,19,3.0
13,1,2.0
13,2,1.0
13,6,4.0
13,8,1.0
13,10,5.0
13,11,5.0
13,12,4.0
13,13,3.0
13,14,5.0
13,17,5.0
13,18,5.0
13,19,4.0
14,1,3.0
14,2,5.0
14,6,2.0
14,7,5.0
14,8,3.0
14,10,3.0
14,11,3.0
14,13,4.0
14,15,4.0
14,17,1.0
15,2,2.0
15,3,5.0
15,12,1.0
15,16,3.0
15,17,1.0
15,18,5.0
15,19,2.0
16,1,5.0
16,3,5.0
16,4,3.0
16,7,3.0
16,8,2.0
16,9,4.0
16,10,2.0
16,12,4.0
16,13,4.0
16,14,5.0
16,15,4.0
16,16,2.0
16,18,1.0
16,19,3.0
17,0,4.0
17,2,1.0
17,5,5.0
17,6,2.0
17,8,5.0
17,11,4.0
17,13,2.0
17,14,3.0
17,19,5.0
18,2,4.0
18,4,1.0
18,5,4.0
18,7,4.0
18,8,2.0
18,9,1.0
18,14,2.0
18,15,1.0
18,16,1.0
18,18,3.0
18,19,5.0
19,0,2.0
19,3,2.0
19,4,5.0
19,6,2.0
19,8,2.0
19,9,1.0
19,12,5.0
19,13,2.0
19,14,2.0
19,15,3.0
19,18,1.0
19,19,2.0
